,ID Candidato,Género,Carrera Gestional,Avance,Semestres Totales,Postulados Si/No,Evaluados Si/No,Altamente Recomendado,Operaciones-Calidad,MTTO-DIMA,Comercial-Planeamiento,DIGI-SC,Resto-Soft,Apto/No Apto,Destacado Pym,Ingles,Apto/ Destacado,Ingresados Si/No
889,889.0,F,Negocios Internacionales,,,Si,Si,,0,0,0,0,0,0,0,0, ,0
890,890.0,M,Ing. Innovación y Desarrollo,,,Si,Si,,3,3,1,1,1,1,0,0, ,0
891,891.0,M,Ing. Física,,,Si,Si,,1,5,1,1,1,1,1,0,1,0
892,892.0,M,Ing. Física,,,Si,Si,,0,0,0,0,0,0,0,0, ,0
893,893.0,F,Ing. Química,,,Si,Si,,3,1,3,1,1,1,0,0, ,0
894,894.0,M,Ing. Mecánica,,,Si,Si,,0,0,0,0,0,0,0,0, ,0
895,895.0,F,Ing. Robótica y Sistemas Digitales,,,Si,Si,,0,0,0,0,0,0,0,0, ,0
896,896.0,F,Ing. Desarrollo Sustentable,,,Si,Si,,0,0,0,0,0,0,0,0, ,0
897,897.0,F,Ing. Física,,,Si,Si,,0,0,0,0,0,0,0,0, ,0
898,898.0,F,Administración,,,Si,Si,,1,1,1,1,3,1,0,0, ,0
899,899.0,M,Ing. Mecatrónica/Electrónica,,,Si,Si,,0,0,0,0,0,0,0,0, ,0
900,900.0,M,Ing. Industrial,,,Si,Si,,1,5,5,1,1,1,1,0,2,1
901,901.0,M,Ing. Química,,,Si,Si,,0,0,0,0,0,0,0,0, ,0
902,902.0,M,Ing. Química,,,Si,Si,,1,5,1,1,3,1,1,0,1,0
903,903.0,F,Ing. Química,,,Si,Si,,1,3,1,1,5,1,0,0, ,0
904,904.0,M,Ing. Química,,,Si,Si,,0,0,0,0,0,0,0,0, ,0
905,905.0,F,Ing. Nanotecnología,,,Si,Si,,5,5,5,5,3,1,1,0, ,0
906,906.0,F,Ing. Nanotecnología,,,Si,Si,,3,3,5,1,1,1,1,0,2,1
907,907.0,F,Ing. Nanotecnología,,,Si,Si,,0,0,0,0,0,0,0,0, ,0
908,908.0,F,Ing. Innovación y Desarrollo,,,Si,Si,,0,0,0,0,0,0,0,0, ,0
909,909.0,M,Ing. Mecánica,,,Si,Si,,1,1,1,3,1,1,0,0, ,0
910,910.0,F,Ing. Biotecnología,,,Si,Si,,0,0,0,0,0,0,0,0, ,0
